EXPERIMENT_ID,API_TYPE,QUERY_TYPE,REPOSITORY,EXECUTION_TIME_MS,RESPONSE_SIZE_BYTES,TIMESTAMP
52,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,477.45516599999974,11659,2024-11-14T17:45:34.271Z
53,REST,Medium,freeCodeCamp/freeCodeCamp,422.06912499999453,150545,2024-11-14T17:45:35.695Z
53,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,520.2547080000077,11659,2024-11-14T17:45:36.215Z
54,REST,Medium,freeCodeCamp/freeCodeCamp,514.0036669999972,150545,2024-11-14T17:45:37.732Z
54,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,533.7319169999973,11659,2024-11-14T17:45:38.266Z
55,REST,Medium,freeCodeCamp/freeCodeCamp,401.4552079999994,150545,2024-11-14T17:45:39.670Z
55,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,439.5000410000066,11659,2024-11-14T17:45:40.109Z
56,REST,Medium,freeCodeCamp/freeCodeCamp,443.9788750000007,150545,2024-11-14T17:45:41.555Z
56,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,504.5652909999917,11659,2024-11-14T17:45:42.059Z
57,REST,Medium,freeCodeCamp/freeCodeCamp,460.0218750000058,150545,2024-11-14T17:45:43.522Z
57,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,378.5757079999894,11659,2024-11-14T17:45:43.900Z
58,REST,Medium,freeCodeCamp/freeCodeCamp,480.1821670000063,150545,2024-11-14T17:45:45.387Z
58,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,454.58345800000825,11659,2024-11-14T17:45:45.842Z
59,REST,Medium,freeCodeCamp/freeCodeCamp,376.65062499999476,150545,2024-11-14T17:45:47.220Z
59,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,574.1542499999923,11659,2024-11-14T17:45:47.794Z
60,REST,Medium,freeCodeCamp/freeCodeCamp,399.41362500000105,150545,2024-11-14T17:45:49.198Z
60,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,399.4108750000014,11659,2024-11-14T17:45:49.598Z
